,sepal_length,sepal_width,species
0,5.1,3.5,Iris-setosa
1,4.9,3.0,Iris-setosa
2,4.7,3.2,Iris-setosa
3,4.6,3.1,Iris-setosa
4,5.0,3.6,Iris-setosa
5,5.4,3.9,Iris-setosa
6,4.6,3.4,Iris-setosa
7,5.0,3.4,Iris-setosa
8,4.4,2.9,Iris-setosa
9,4.9,3.1,Iris-setosa
10,5.4,3.7,Iris-setosa
11,4.8,3.4,Iris-setosa
12,4.8,3.0,Iris-setosa
13,4.3,3.0,Iris-setosa
14,5.8,4.0,Iris-setosa
15,5.7,4.4,Iris-setosa
16,5.4,3.9,Iris-setosa
17,5.1,3.5,Iris-setosa
18,5.7,3.8,Iris-setosa
19,5.1,3.8,Iris-setosa
20,5.4,3.4,Iris-setosa
21,5.1,3.7,Iris-setosa
22,4.6,3.6,Iris-setosa
23,5.1,3.3,Iris-setosa
24,4.8,3.4,Iris-setosa
25,5.0,3.0,Iris-setosa
26,5.0,3.4,Iris-setosa
27,5.2,3.5,Iris-setosa
28,5.2,3.4,Iris-setosa
29,4.7,3.2,Iris-setosa
30,4.8,3.1,Iris-setosa
31,5.4,3.4,Iris-setosa
32,5.2,4.1,Iris-setosa
33,5.5,4.2,Iris-setosa
34,4.9,3.1,Iris-setosa
35,5.0,3.2,Iris-setosa
36,5.5,3.5,Iris-setosa
37,4.9,3.1,Iris-setosa
38,4.4,3.0,Iris-setosa
39,5.1,3.4,Iris-setosa
40,7.0,3.2,Iris-versicolor
41,6.4,3.2,Iris-versicolor
42,6.9,3.1,Iris-versicolor
43,5.5,2.3,Iris-versicolor
44,6.5,2.8,Iris-versicolor
45,5.7,2.8,Iris-versicolor
46,6.3,3.3,Iris-versicolor
47,4.9,2.4,Iris-versicolor
48,6.6,2.9,Iris-versicolor
49,5.2,2.7,Iris-versicolor
50,5.0,2.0,Iris-versicolor
51,5.9,3.0,Iris-versicolor
52,6.0,2.2,Iris-versicolor
53,6.1,2.9,Iris-versicolor
54,5.6,2.9,Iris-versicolor
55,6.7,3.1,Iris-versicolor
56,5.6,3.0,Iris-versicolor
57,5.8,2.7,Iris-versicolor
58,6.2,2.2,Iris-versicolor
59,5.6,2.5,Iris-versicolor
60,5.9,3.2,Iris-versicolor
61,6.1,2.8,Iris-versicolor
62,6.3,2.5,Iris-versicolor
63,6.1,2.8,Iris-versicolor
64,6.4,2.9,Iris-versicolor
65,6.6,3.0,Iris-versicolor
66,6.8,2.8,Iris-versicolor
67,6.7,3.0,Iris-versicolor
68,6.0,2.9,Iris-versicolor
69,5.7,2.6,Iris-versicolor
70,5.5,2.4,Iris-versicolor
71,5.5,2.4,Iris-versicolor
72,5.8,2.7,Iris-versicolor
73,6.0,2.7,Iris-versicolor
74,5.4,3.0,Iris-versicolor
75,6.0,3.4,Iris-versicolor
76,6.7,3.1,Iris-versicolor
77,6.3,2.3,Iris-versicolor
78,5.6,3.0,Iris-versicolor
79,5.5,2.5,Iris-versicolor
